time,x,y,z,qx,qy,qz,qw
1669805656.3299906,0.1357269287109375,-0.0173187255859375,0.0,0.0,-0.0,0.040881083587044356,0.9997910993992424
1669805656.4369419,0.1420440673828125,-0.0180816650390625,0.0,0.0,-0.0,0.04325775155004137,0.9997661049847362
1669805656.5278158,0.157012939453125,-0.0173492431640625,0.0,0.0,-0.0,0.03772071518156187,0.9998221487278698
1669805656.6083136,0.1389923095703125,-0.0159454345703125,0.0,0.0,-0.0,0.03892514249480263,0.9998106101386085
1669805656.6989524,0.1424407958984375,-0.0179443359375,0.0,0.0,-0.0,0.04199019219358725,0.9997796110656327
1669805656.7896707,0.166717529296875,-0.0214385986328125,0.0,0.0,-0.0,0.038914391022989034,0.9998107147431999
1669805656.8704472,0.1332244873046875,-0.0156097412109375,0.0,0.0,-0.0,0.03763671794484101,0.9998229399080854
1669805656.9411182,0.138397216796875,-0.020050048828125,0.0,0.0,-0.0,0.04350256562393757,0.9997634501745751
1669805657.0520732,0.15960693359375,-0.01507568359375,0.0,0.0,-0.0,0.03815637613054961,0.999818016889983
1669805657.142887,0.1786956787109375,-0.0209808349609375,0.0,0.0,-0.0,0.0460186824032248,0.9997352967875234
1669805657.223511,0.1570587158203125,-0.0171051025390625,0.0,0.0,-0.0,0.04027905203535446,0.9997972066004561
1669805657.3041582,0.1536102294921875,-0.018707275390625,0.0,0.0,-0.0,0.04257066762640022,0.9997734758349466
1669805657.3891265,0.1633453369140625,-0.0178070068359375,0.0,0.0,-0.0,0.040568569742891684,0.9997942809474021
1669805657.4797945,0.1710052490234375,-0.0167694091796875,0.0,0.0,-0.0,0.046555859610005086,0.9997290812257109
1669805657.5704682,0.164886474609375,-0.0202789306640625,0.0,0.0,-0.0,0.04050391893262479,0.999794936077806
1669805657.6616373,0.1869354248046875,-0.0191192626953125,0.0,0.0,-0.0,0.0426512058706117,0.9997726179473451
1669805657.752323,0.13348388671875,-0.019195556640625,0.0,0.0,-0.0,0.04098990181713679,0.9997899858450303
1669805657.8434877,0.1310577392578125,-0.0242156982421875,0.0,0.0,-0.0,0.05161999371582543,0.9996669405208423
1669805657.9243042,0.173553466796875,-0.0183258056640625,0.0,0.0,-0.0,0.04374396555059827,0.9997608177200406
1669805658.0050206,0.175079345703125,-0.0248260498046875,0.0,0.0,-0.0,0.04369369249013932,0.999761367146116
1669805658.0958755,0.17425537109375,-0.024078369140625,0.0,0.0,-0.0,0.04107205641537452,0.9997891431832427
1669805658.1869256,0.1416168212890625,-0.016998291015625,0.0,0.0,-0.0,0.04711600619967526,0.999722523078164
1669805658.2778487,0.12994384765625,-0.016815185546875,0.0,0.0,-0.0,0.04298794377097219,0.9997690134793028
1669805658.3690958,0.147705078125,-0.0197296142578125,0.0,0.0,-0.0,0.044870787450715904,0.9997483371106042
1669805658.4497576,0.1745452880859375,-0.0213470458984375,0.0,0.0,-0.0,0.038538721960216425,0.9998143516082144
1669805658.540821,0.1623077392578125,-0.018218994140625,0.0,0.0,-0.0,0.04917205279317274,0.9996977788771747
1669805658.6215782,0.190338134765625,-0.024688720703125,0.0,0.0,-0.0,0.03943958939302864,0.99980557114932
1669805658.7125626,0.1917724609375,-0.018798828125,0.0,0.0,-0.0,0.04251280532601625,0.9997740911792257
1669805658.7935371,0.184356689453125,-0.0186767578125,0.0,0.0,-0.0,0.04485447421152057,0.999748520058968
1669805658.874404,0.1920166015625,-0.017181396484375,0.0,0.0,-0.0,0.039924442683047595,0.9998007614759058
1669805658.9756782,0.19024658203125,-0.0250091552734375,0.0,0.0,-0.0,0.03895211636404817,0.9998103475738221
1669805659.0662115,0.190093994140625,-0.02398681640625,0.0,0.0,-0.0,0.04156469617121513,0.9997840547765285
1669805659.1573431,0.1650543212890625,-0.0217437744140625,0.0,0.0,-0.0,0.04340928841264255,0.9997644634567632
1669805659.238065,0.1916046142578125,-0.020599365234375,0.0,0.0,-0.0,0.03996296506248602,0.9998003768198495
1669805659.3189006,0.166168212890625,-0.0222320556640625,0.0,0.0,-0.0,0.04291802409944336,0.9997697642362185
1669805659.4088433,0.1937103271484375,-0.01971435546875,0.0,0.0,-0.0,0.044778616396792266,0.9997493699091388
1669805659.4997313,0.1901092529296875,-0.022003173828125,0.0,0.0,-0.0,0.042159549343918794,0.9997778297769785
1669805659.5806246,0.1950225830078125,-0.021820068359375,0.0,0.0,-0.0,0.042171133723426776,0.9997777076711949
1669805659.681721,0.1568756103515625,-0.01953125,0.0,0.0,-0.0,0.04442047477046001,0.9997533628166294
1669805659.7725701,0.2095489501953125,-0.0228271484375,0.0,0.0,-0.0,0.04837852837787849,0.9997074540139708
1669805659.8533802,0.190460205078125,-0.0178680419921875,0.0,0.0,-0.0,0.04134792634978383,0.999786301234949
1669805659.9442022,0.1751556396484375,-0.02081298828125,0.0,0.0,-0.0,0.04431589361347022,0.9997545227404933
1669805660.02507,0.1978302001953125,-0.018798828125,0.0,0.0,-0.0,0.04446167260246669,0.9997529051353231
1669805660.1161435,0.1966094970703125,-0.0252532958984375,0.0,0.0,-0.0,0.047507164175382297,0.9997178969336895
1669805660.196844,0.195037841796875,-0.0185546875,0.0,0.0,-0.0,0.04424872632004634,0.9997552662604671
1669805660.277605,0.2015838623046875,-0.0206146240234375,0.0,0.0,-0.0,0.04371235582876259,0.9997611632512584
1669805660.3786833,0.212127685546875,-0.026763916015625,0.0,0.0,-0.0,0.04480570953784934,0.9997490665444034
1669805660.4595015,0.2210540771484375,-0.019989013671875,0.0,0.0,-0.0,0.04335029877329252,0.999765103146198
1669805660.550404,0.2296600341796875,-0.0237579345703125,0.0,0.0,-0.0,0.0456646087872864,0.9997393542615253
1669805660.63124,0.2199859619140625,-0.0236663818359375,0.0,0.0,-0.0,0.04471130120098145,0.9997501228502395
1669805660.7220356,0.2300872802734375,-0.015350341796875,0.0,0.0,-0.0,0.05100260262642358,0.999674859436592
1669805660.8028412,0.1858673095703125,-0.0232086181640625,0.0,0.0,-0.0,0.04619186739359853,0.9997333007789255
1669805660.8835769,0.213409423828125,-0.0243988037109375,0.0,0.0,-0.0,0.044683992046997106,0.9997504279885654
1669805660.9844456,0.1791229248046875,-0.020111083984375,0.0,0.0,-0.0,0.044793510656899176,0.9997492031592559
1669805661.0754113,0.212249755859375,-0.0235748291015625,0.0,0.0,-0.0,0.040585598070708884,0.9997941082192809
1669805661.16625,0.220184326171875,-0.023193359375,0.0,0.0,-0.0,0.042934229330942486,0.9997695903426151
1669805661.2571738,0.2005615234375,-0.019805908203125,0.0,0.0,-0.0,0.04365471442025012,0.9997617926963316
1669805661.3469343,0.2144622802734375,-0.0222625732421875,0.0,0.0,-0.0,0.04271174858765416,0.9997719719832295
1669805661.4277754,0.2179412841796875,-0.025146484375,0.0,0.0,-0.0,0.04931436655229762,0.9996960270576165
1669805661.508641,0.217437744140625,-0.0243988037109375,0.0,0.0,-0.0,0.045742849144243286,0.9997384603703123
1669805661.5995908,0.2216644287109375,-0.0213775634765625,0.0,0.0,-0.0,0.0434945939275026,0.9997635368571093
1669805661.680601,0.1981201171875,-0.0210723876953125,0.0,0.0,-0.0,0.04419211282822095,0.9997558920775651
1669805661.7614367,0.18853759765625,-0.0186614990234375,0.0,0.0,-0.0,0.04067283289309684,0.999793222209625
1669805661.8724444,0.183013916015625,-0.02215576171875,0.0,0.0,-0.0,0.04166956268996392,0.9997829637943936
1669805661.9532754,0.1544342041015625,-0.0186920166015625,0.0,0.0,-0.0,0.04290255630589153,0.999769930155366
1669805662.0441127,0.194183349609375,-0.0185089111328125,0.0,0.0,-0.0,0.03731597615943537,0.9998259447898457
1669805662.1250165,0.1274566650390625,-0.0211181640625,0.0,0.0,-0.0,0.04267412508909937,0.9997723735171452
1669805662.2158103,0.1717071533203125,-0.0214691162109375,0.0,0.0,-0.0,0.04905921769170323,0.9996991642298384
1669805662.2965126,0.1475372314453125,-0.019256591796875,0.0,0.0,-0.0,0.047684961627682244,0.9997157815186989
1669805662.3875048,0.1282958984375,-0.0232696533203125,0.0,0.0,-0.0,0.05307637415480234,0.9996478829796623
1669805662.468299,0.12432861328125,-0.0237884521484375,0.0,0.0,-0.0,0.056214776045734396,0.9996050133744109
1669805662.5693216,0.10455322265625,-0.0194091796875,0.0,0.0,-0.0,0.05267521749491978,0.9996531852313344
1669805662.6500902,0.1142730712890625,-0.0237579345703125,0.0,0.0,-0.0,0.04909303127338938,0.9996987494115834
1669805662.741043,0.0919342041015625,-0.02142333984375,0.0,0.0,-0.0,0.041011096590217073,0.9997897686111776
1669805662.8218336,0.0732269287109375,-0.0120697021484375,0.0,0.0,-0.0,0.03266771856449452,0.9998666054862622
1669805662.91281,0.0445098876953125,-0.01641845703125,0.0,0.0,-0.0,0.0283817316630506,0.9998993113532217
1669805663.003615,0.0661468505859375,-0.0163726806640625,0.0,0.0,-0.0,0.02438870668649661,0.9999256497946138
1669805663.0843716,0.0455169677734375,-0.0152740478515625,0.0,0.0,-0.0,0.017520188265911472,0.9999616306207616
1669805663.1652584,0.054931640625,-0.0060882568359375,0.0,0.0,-0.0,0.015126438806658772,0.9999713989924659
1669805663.2662187,0.0521697998046875,-0.0121002197265625,0.0,0.0,-0.0,0.02068460508113132,0.9999465188657918
1669805663.3514524,0.0361328125,-0.0077362060546875,0.0,0.0,-0.0,0.011338320095480008,0.9999839303552157
1669805663.4421074,0.0201263427734375,-0.0088043212890625,0.0,0.0,-0.0,0.006801233693842087,0.9999942179081024
1669805663.5226896,0.018798828125,-0.00921630859375,0.0,0.0,-0.0,0.011681853962128678,0.999982941834498
1669805663.6133482,0.0165252685546875,-0.0076751708984375,0.0,0.0,-0.0,0.012205660359599335,0.9999813777896963
1669805663.6939368,0.0005645751953125,-0.004638671875,0.0,0.0,-0.0,0.011555147372132842,0.999983309867578
1669805663.78452,0.0179443359375,-0.003173828125,0.0,0.0,-0.0,0.009507851403825669,0.9999887001164917
1669805663.865206,-0.008087158203125,-0.00592041015625,0.0,0.0,-0.0,0.010209266914994684,0.9999869713869233
1669805663.9559805,0.0051116943359375,-0.010284423828125,0.0,0.0,-0.0,0.016405417673979038,0.9999663579725004
1669805664.0571067,-0.00341796875,-0.0082244873046875,0.0,0.0,-0.0,0.010967267532453496,0.9999849649180348
1669805664.1378481,-0.01263427734375,-0.007781982421875,0.0,0.0,-0.0,0.01742847900343915,0.9999620312552268
1669805664.228784,-0.0041351318359375,-0.00677490234375,0.0,0.0,-0.0,0.014245417639152618,0.9999746336167787
1669805664.3096027,-0.0130157470703125,-0.009674072265625,0.0,0.0,-0.0,0.016648335538507922,0.9999653543155305
1669805664.4004972,-0.03656005859375,-0.0059356689453125,0.0,0.0,-0.0,0.018778109600715118,0.9999559231487766
1669805664.481366,-0.0141448974609375,-0.0086212158203125,0.0,0.0,-0.0,0.01777317622618027,0.9999605145357072
1669805664.5722108,-0.0249481201171875,-0.0077667236328125,0.0,0.0,-0.0,0.01771188034468525,0.9999607864181188
1669805664.652886,-0.0382537841796875,-0.006988525390625,0.0,0.0,-0.0,0.02251197276981025,0.9999366520540898
1669805664.7437365,-0.0323028564453125,-0.011749267578125,0.0,0.0,-0.0,0.024211828066981383,0.999926724317612
1669805664.8447542,-0.04058837890625,-0.006805419921875,0.0,0.0,-0.0,0.03002861644950757,0.9998872873916851
1669805664.9256055,-0.0588531494140625,-0.00335693359375,0.0,0.0,-0.0,0.02935610278474394,0.9998922793376739
1669805665.0063589,-0.046356201171875,-0.0074310302734375,0.0,0.0,-0.0,0.031138349357779472,0.9998788028481131
1669805665.097259,-0.04205322265625,-0.0052337646484375,0.0,0.0,-0.0,0.03457402198675185,0.9998505833464951
1669805665.1781328,-0.061981201171875,-0.0069580078125,0.0,0.0,-0.0,0.034081056156030604,0.9998548137147235
1669805665.2690136,-0.0886383056640625,-0.002899169921875,0.0,0.0,-0.0,0.03958205459262383,0.9998041640115678
1669805665.3523052,-0.0910491943359375,-0.00103759765625,0.0,0.0,-0.0,0.040794589939815995,0.9997919823912429
