time,x,y,z,qx,qy,qz,qw
1667918455.479285,0.004230499267578125,-0.00025177001953125,0.0,0.0,-0.0,0.001505404758698787,0.9999997167195774
1667918455.5602353,0.006053924560546875,0.000713348388671875,0.0,0.0,-0.0,0.0025214184201099964,0.9999992053062491
1667918455.6411724,0.007923126220703125,1.9073486328125e-05,0.0,0.0,-0.0,0.0012575867013004966,0.9999998023094676
1667918455.7222576,0.001232147216796875,-6.866455078125e-05,0.0,0.0,-0.0,0.002187238506553637,0.999999401998524
1667918455.8132749,0.003009796142578125,-0.00012969970703125,0.0,0.0,-0.0,0.004172160179681679,0.9999978241357185
1667918455.9045372,0.007213592529296875,-0.000316619873046875,0.0,0.0,-0.0,0.0007783550025155903,0.9999999242704372
1667918455.9856505,0.00511932373046875,-0.001220703125,0.0,0.0,-0.0,0.003621700442796884,0.9999983604111858
1667918456.0768461,0.00296783447265625,-0.001194000244140625,0.0,0.0,-0.0,0.0049900375201971485,0.9999968874423081
1667918456.1676915,0.00270843505859375,-0.000965118408203125,0.0,0.0,-0.0,0.0018990055979426295,0.9999995492222512
1667918456.2486794,0.0037841796875,-0.00164794921875,0.0,0.0,-0.0,0.004418432131076643,0.9999975596831804
1667918456.339514,0.004955291748046875,-0.00084686279296875,0.0,0.0,-0.0,0.0034588557495661455,0.9999985045399857
1667918456.4104257,0.00316619873046875,-0.001171112060546875,0.0,0.0,-0.0,0.001923842912426713,0.9999995373535917
1667918456.4917011,0.00550079345703125,-0.00046539306640625,0.0,0.0,-0.0,0.004610550598098714,0.9999973428540746
1667918456.582977,0.00489044189453125,0.00072479248046875,0.0,0.0,-0.0,0.0018003991892497006,0.9999995948203723
1667918456.6641638,0.00325775146484375,-0.000457763671875,0.0,0.0,-0.0,0.0026414635467198267,0.9999991278339182
1667918456.7550979,0.005687713623046875,-0.000438690185546875,0.0,0.0,-0.0,0.001989989135174065,0.999999504992946
1667918456.8364677,0.00293731689453125,-0.0005645751953125,0.0,0.0,-0.0,0.0022566188689533014,0.9999993634589776
1667918456.9174552,0.007110595703125,-0.001071929931640625,0.0,0.0,-0.0,0.002159079286480796,0.9999994172971359
1667918457.0087237,0.00333404541015625,-7.62939453125e-06,0.0,0.0,-0.0,0.0022866020817291226,0.9999993464314362
